93.01;89.33;92.09;207.43;medias
77.14;57.14;72.14;37.11
54.29;71.43;58.57;40.75
77.94;57.14;72.74;40.52
79.41;57.14;73.84;38.17
85.00;57.14;78.04;42.07
74.76;60.00;71.07;39.72;medias
100.00;77.27;94.32;26.79
90.00;81.82;87.95;20.19
95.00;81.82;91.70;20.08
92.50;81.82;89.83;20.32
85.71;81.82;84.74;21.37
92.64;80.91;89.71;21.75;medias
